"ID","cub_AIC","cla_AIC","gom_AIC","bar_AIC","bucha_AIC","cla_deltaAIC","gom_deltaAIC","bar_deltaAIC","bucha_deltaAIC","cub_deltaAIC","SampleSize","cla_AICc","gom_AICc","bar_AICc","bucha_AICc","cub_AICc","cla_deltaAICc","gom_deltaAICc","bar_deltaAICc","bucha_deltaAICc","cub_deltaAICc","cla_AIC_Wt","gom_AIC_Wt","bar_AIC_Wt","bucha_AIC_Wt","cub_AIC_Wt","cla_AICc_Wt","gom_AICc_Wt","bar_AICc_Wt","bucha_AICc_Wt","cub_AICc_Wt"
1,-122.25024519168,-38.6382930164561,-41.8390022888665,-106.831235190436,-77.8099726261429,83.611952175224,80.4112429028137,15.4190100012444,44.4402725655373,0,28,-37.6382930164561,-40.8390022888665,-105.092104755653,-75.0826998988701,-120.511114756898,3.20070927241039,0,-64.2531024667867,-34.2436976100036,-79.672112468031,6.97751081330112e-19,3.45720956428976e-18,0.000448342349795207,2.23729199577335e-10,0.999551657426476,1.00971928911147e-18,5.00294628982813e-18,0.000448342349834313,1.36505546007739e-10,0.99955165751366
2,-88.2842797014014,-152.463781289124,-49.8555800230663,-183.235620455522,-135.861780804492,30.7718391663981,133.380040432456,0,47.3738396510308,94.9513407541209,28,-151.463781289124,-48.8555800230663,-181.49649002074,-133.134508077219,-86.5451492666188,0,102.608201266058,-30.0327087316155,18.3292732119055,64.9186320225055,2.07960060770113e-07,1.08865966297805e-29,0.999999791988309,5.16299062147e-11,2.40756621465421e-21,3.00940078496094e-07,1.57540502353627e-29,0.99999969902842,3.15013323951716e-11,2.40756599084705e-21
3,-53.1300852075161,-72.9844801647881,-11.8107424492708,-149.685128246444,-136.593946431238,76.7006480816559,137.874385797173,0,13.0911818152057,96.5550430389279,28,-71.9844801647881,-10.8107424492708,-147.945997811661,-133.866673703966,-51.3909547727335,0,61.1737377155173,-75.9615176468733,-61.8821935391775,20.5935253920546,2.20822082718362e-17,1.14903732934447e-30,0.998565625354625,0.0014343746453753,1.07823994269133e-21,3.19731603434641e-17,1.6637083718938e-30,0.999124344748242,0.000875655251758078,1.07884324161496e-21
4,-80.7445363574261,-48.6746667138534,-0.267012674896232,-78.5172344806158,-81.7008986398814,32.0698696435727,80.4775236825299,2.22730187681034,-0.956362282455274,0,30,-47.7515897907764,0.656064248180691,-76.9172344806158,-79.2008986398814,-79.1445363574261,0,48.4076540389571,-29.1656446898393,-31.4493088491049,-31.3929465666497,3.69443531863075e-08,1.1375213376941e-18,0.111629587751379,0.54840727730156,0.339963098002708,6.46784678470246e-08,1.99145825870407e-18,0.139315359005275,0.436405655280759,0.424278921035499
5,-15.8357519555091,-15.8731070300261,98.0476972802399,-9.75336453238359,-9.7622753529924,0,113.920804310266,6.11974249764249,6.11083167703368,0.0373550745169489,26,-14.782197939117,99.138606371149,-7.84860262762169,-6.7622753529924,-13.9309900507472,0,113.920804310266,6.93359531149531,8.01992258612459,0.851207888369764,0.481813313524205,8.81638309882201e-26,0.022594024617497,0.0226949148544014,0.472897747003897,0.587293552033064,1.0746496206837e-25,0.0183334475715454,0.0106500383214322,0.383722962073958
6,-148.321960640653,-39.454107747925,-63.3795817787524,-129.807047747148,-93.1149487027721,108.867852892728,84.9423788619007,18.514912893505,55.207011937881,0,28,-38.454107747925,-62.3795817787524,-128.067917312366,-90.3876759754994,-146.582830205871,23.9254740308274,0,-65.6883355336132,-28.008094196747,-84.2032484271182,2.28878335962039e-24,3.58885045183377e-19,9.53885660069797e-05,1.02779913489622e-12,0.999904611432965,3.31211053403158e-24,5.19344451567234e-19,9.53885660070179e-05,6.27098663688782e-13,0.999904611433366
7,-109.087160431076,-89.5675117846239,-22.2391184764991,-123.471299615639,-102.855242641816,33.9037878310149,101.23218113914,0,20.616056973823,14.3841391845624,28,-88.5675117846239,-21.2391184764991,-121.732169180856,-100.127969914543,-107.348029996294,0,67.3283933081247,-33.1646573962323,-11.5604581299191,-18.7805182116699,4.34055056977669e-08,1.04080645204329e-22,0.999214679542628,3.33379518115838e-05,0.00075193910005427,6.28131525934011e-08,1.50617608161527e-22,0.999227647333834,2.03409943066197e-05,0.000751948858707188
8,-117.724076017434,-109.823207880589,-28.0231916288791,-103.737957647894,-79.6872746462616,7.90086813684461,89.7008843885546,13.9861183695399,38.0368013711721,0,28,-108.823207880589,-27.0231916288791,-101.998827213111,-76.9600019189888,-115.984945582651,0,81.80001625171,6.82438066747794,31.8632059616003,-7.161737702062,0.018865922249239,3.25859360912769e-20,0.000900083378348726,5.39191807564723e-09,0.980233988980494,0.0270726171802658,4.67608506811975e-20,0.000892554633817414,3.26229311647191e-09,0.972034824923624
9,-143.235566774482,-148.415483534298,-71.1068703932503,-142.390318953275,-120.994417507234,0,77.308613141048,6.0251645810236,27.4210660270639,5.17991675981597,28,-147.415483534298,-70.1068703932503,-140.651188518492,-118.267144779962,-141.4964363397,0,77.308613141048,6.7642950158062,29.1483387543367,5.91904719459856,0.889530275240598,1.45147208746256e-17,0.0437333623905893,9.87988528849969e-07,0.0667353743802842,0.920964236193987,1.5027637839817e-17,0.0312892220909387,4.31282093291489e-07,0.0477461104329809
10,-127.716341737321,-157.158623033036,-58.3011846870592,-134.390648743337,-108.839650029015,0,98.8574383459765,22.7679742896983,48.3189730040212,29.4422812957149,28,-156.158623033036,-57.3011846870592,-132.651518308555,-106.112377301742,-125.977211302538,0,98.8574383459765,23.5071047244809,50.0462457312939,30.1814117304975,0.999988219619988,3.41487569424273e-22,1.13760655214532e-05,3.21857186335433e-11,4.04282304981937e-07,0.999991859327494,3.41488812353785e-22,7.8612848108131e-06,1.35703885924086e-11,2.79374124335123e-07
11,-125.438811398143,-53.8624659854409,-28.5838191334316,-155.157666191398,-113.828768503336,101.295200205957,126.573847057966,0,41.3288976880619,29.7188547932548,28,-52.8624659854409,-27.5838191334316,-153.418535756615,-111.101495776063,-123.69968096336,0,25.2786468520093,-100.556069771174,-58.2390297906222,-70.8372149779195,1.00931470408852e-22,3.27218750071036e-28,0.999999646866579,1.0605807545918e-09,3.52072840414285e-07,1.46058465992165e-22,4.735199882222e-28,0.99999964728006,6.47099955265527e-10,3.52072840559855e-07
12,-136.954957305636,-42.3751663602967,-42.5948625662542,-126.053361681254,-96.1903735366143,94.5797909453396,94.3600947393821,10.9015956243828,40.764583769022,0,28,-41.3751663602967,-41.5948625662542,-124.314231246471,-93.4631008093416,-135.215826870854,0.219696205957518,0,-82.7193686802167,-51.8682382430874,-93.6209643045995,2.88668212365761e-21,3.22185052435681e-21,0.00427452837682896,1.40030526704002e-09,0.995725470222866,4.17733300759778e-21,4.66235697745925e-21,0.00427452837916254,8.54378576884941e-10,0.995725470766459
13,-127.206436435796,-117.46672152695,-50.91015508213,-170.627391427964,-143.401055264014,53.1606699010142,119.717236345834,0,27.2263361639505,43.420954992168,28,-116.46672152695,-49.91015508213,-168.888260993181,-140.673782536741,-125.467306001014,0,66.5565664448199,-52.4215394662316,-24.207061009791,-9.00058447406366,2.85960911032531e-12,1.00863004626404e-26,0.999998775358807,1.22426571916091e-06,3.72613762993472e-10,4.13815747931095e-12,1.45959458400607e-26,0.999999252652622,7.46970625733031e-07,3.72613940839932e-10
14,-69.7876103930344,-52.051690042726,94.3859584533629,-42.6410981622326,-42.6410982053795,17.7359203503084,164.173568846397,27.1465122308018,27.1465121876549,0,28,-51.051690042726,95.3859584533629,-40.90196772745,-39.9138254781068,-68.0484799582518,0,146.437648496089,10.149722315276,11.1378645646192,-16.9967899155258,0.000140809373588286,2.23923783797704e-36,1.27393568741747e-06,1.27393571490064e-06,0.99985664275501,0.000203753264621081,3.24021056357306e-36,1.27385612241816e-06,7.7722724432351e-07,0.999794195652012
15,-77.1774703101696,-33.5450129776911,97.4125114608388,-39.3418009446574,-3.79175678719674,43.6324573324786,174.589981771008,37.8356693655122,73.3857135229729,0,28,-32.5450129776911,98.4125114608388,-37.6026705098748,-1.06448405992402,-75.438339875387,0,130.95752443853,-5.05765753218378,31.480528917767,-42.893326897696,3.35221813736966e-10,1.22536975816567e-38,6.08259337984657e-09,1.16009827342591e-16,0.999999993582185,4.85101263814099e-10,1.77323907325485e-38,6.08259337893492e-09,7.07819312357357e-17,0.999999993432305
