,ID,N0,Nmax,Rmax,chisqr,RSS,TSS,Rsqrd,aic,bic
0,220,36.61909009713005,4.307010142892377,0.012483901921378049,20.01358811356328,20.01358811356328,20.013588113563276,-2.220446049250313e-16,13.353509096397007,13.191239543562947
0,221,0.033682050930023175,7.592413328635224,0.0008647204581391232,0.15880031902292624,0.15880031902292624,50.85045349943671,0.9968771110561544,-20.502125091861583,-20.664394644695644
0,222,0.006231934638717947,6.827821821283324,0.00568561267611134,0.16089665530390693,0.16089665530390693,45.72842441929073,0.9964814738896617,-11.182154625276493,-12.353840887974192
0,223,0.14242207076130298,7.58448289892489,0.005145476588762188,0.1732563114950289,0.1732563114950289,44.43277147174853,0.9961007088741879,-15.268456084907989,-15.893177677223823
0,224,0.614148604620058,7.56988042509249,0.0004931059544757144,0.05892945979207751,0.05892945979207751,12.479266636487107,0.9952778106671927,-16.204260297754743,-17.37594656045244
0,225,0.41795372996995045,6.626075309642905,0.0005622019029098979,0.34199727414757675,0.3419972741475767,37.51152953825263,0.9908828757889272,-19.219152431678832,-18.980827806639326
0,226,0.19984014411149004,7.670970402720203,0.004280918926447219,0.18672046091471345,0.18672046091471345,45.561886977516245,0.9959018277489944,-14.81941266716585,-15.444134259481684
0,227,0.26215349459899945,7.926736838548748,0.0051189784940379734,0.1843062778820611,0.1843062778820611,51.58112645239176,0.9964268659767993,-14.897494924370655,-15.52221651668649
0,228,0.8424774419252506,6.092666505495723,0.011036214758013196,0.4740372729417787,0.4740372729417788,67.76948005244826,0.9930051511008361,-64.12725778828911,-61.293940850789795
0,229,0.7705283140753415,6.1805796122545225,0.02474784959122367,0.6050614259279302,0.6050614259279302,45.70062771137714,0.9867603257060449,-33.87587049039505,-32.18102241801044
0,230,0.5456115910693532,5.674983926033157,0.08931860830781435,0.31801587687736327,0.31801587687736327,20.03475221599743,0.9841267876213896,-15.640948834514052,-15.803218387348114
0,231,0.47673597765470976,5.531286296805536,0.07112521961335849,0.42794643813268574,0.42794643813268574,29.19417471075077,0.9853413757240038,-25.51342328775418,-24.605668008772042
0,232,0.9999387652571888,1.007470638623068,0.00013532012795962692,,,,,,
0,233,0.2985776271263665,5.031370783172418,0.014178009775783096,0.1278882737734777,0.1278882737734777,29.540468399440826,0.9956707431972914,-54.080118992840305,-52.385270920455696
0,234,1.0338712743030036,5.192194556289227,0.02738708148420166,0.03812070399445367,0.03812070399445367,15.337916043239602,0.9975146099452503,-43.1780007886732,-42.586327056664544
0,235,0.5934611870428901,6.854975725409514,0.0886330969720257,0.5648163883040417,0.5648163883040416,47.61746586674346,0.9881384618432936,-38.94436669408377,-37.027194705237996
0,236,0.03107395088829338,6.696628202205522,0.09315151290267099,0.6748041931763095,0.6748041931763095,45.60884477367203,0.9852045322234111,-24.703507858911564,-23.509822040516454
0,237,1.0075889057086864,1.0156571651532773,0.005591028454176694,0.00036852281100666236,0.0003685228110066623,0.0004331330831450489,0.1491695616258195,-164.8575466906529,-162.53978052393356
0,238,0.36145929411497,6.615609787408159,0.009130345694404296,0.9831415615461978,0.9831415615461977,70.25576625375984,0.9860062509603106,-42.4536635603211,-39.95402352815245
0,239,0.7310148450835579,6.5041918770138905,0.021522425723147665,1.2540357818778511,1.2540357818778511,43.99494258343448,0.9714959104788096,-21.102476085497997,-19.647756136133996
0,240,0.6272751139361102,6.614866429018716,0.08047123996416872,0.2077381117262861,0.20773811172628612,38.72642112777779,0.9946357523965136,-27.91831483344911,-27.32664110144045
0,241,1.025185454751969,1.0212821766377607,0.009145169104046502,0.00028650805307979375,0.00028650805307979375,0.00030873334817286147,0.0719886440016958,-98.60329006717606,-97.69553478819392
0,242,1.006068226461508,4282.4288654843895,3.3196871662477534e-05,0.0003709312711115606,0.00037093127111156057,0.0008988207658472826,0.5873134164163436,-164.75331980522654,-162.4355536385072
0,243,0.4784592403424664,17.514007727092178,0.004797649846153718,1.9352757985916265,1.9352757985916267,37.096154897935556,0.9478308249489402,-30.940379434706912,-28.440739402538263
0,244,0.8458941512241568,6.431517339848907,0.030666289504886368,0.2009815679456182,0.2009815679456182,29.251860100594634,0.993129272215358,-38.02681084658328,-36.83312502818817
0,245,0.6115943392276693,5.594139914126358,0.07084270854743568,0.18916333995890444,0.18916333995890444,22.38496602036502,0.9915495364260634,-23.956687569995932,-23.718362944956425
0,246,0.8259583737338317,6.340290848270173,0.10132279752769802,0.053526159743641666,0.053526159743641666,21.07486226528464,0.9974601893445438,-16.685113449244483,-17.85679971194218
0,247,0.6647752988952573,4.287313503065039,0.019309082232678465,0.2866047604150592,0.2866047604150592,12.166681895509054,0.9764434738348136,-20.63274156355216,-20.394416938512652
0,248,0.31325433382423434,8138469.680802206,0.006063978734281994,3.05076027904001,3.0507602790400097,23.529127578800402,0.8703411221337112,-15.331330975396384,-13.414158986550609
0,249,0.05337968295962849,5.242196757523022,0.039085018019595186,1.0050544253518117,1.0050544253518117,30.336397103590443,0.9668696839008328,-16.975433983703958,-16.06767870472182
0,250,0.8764757291421831,6.193902765873279,0.05203128514487676,0.12463060407334477,0.12463060407334477,29.983695382558423,0.9958433874649806,-27.294741007214014,-27.056416382174508
0,251,0.46193217894505356,5.256824548042524,0.07722547937433988,0.6885013457054361,0.6885013457054361,21.822606214013465,0.9684500861650835,-17.13416325244328,-16.54248952043462
0,252,0.22653096052820565,6.19284397867886,0.0642342316608353,5.530497975811256,5.530497975811255,45.583160977124756,0.8786723461633857,1.6174795561730742,2.2091532881817324
0,253,1.0095573020564856,1.0142608957387342,8.857617969902408e-05,,,,,,
0,254,0.9779484755212728,4.632885421227159,0.014150803853691052,0.2371152350610364,0.2371152350610364,29.440532099555583,0.991945959595458,-66.63118039515389,-64.13154036298525
0,255,0.8725414265991726,4.821873709944191,0.061845159069698674,0.10331956773651074,0.10331956773651074,15.786837169165796,0.9934553345531232,-28.794960289423834,-28.556635664384327
0,256,1.3343905280408255,5.120505945617537,0.05736967173107366,0.9862217407833969,0.9862217407833967,14.80902591855217,0.9334040100809131,-10.74652481688381,-10.508200191844303
0,257,0.862421813187279,5.321310025277083,0.14385975093518955,0.17773090889659676,0.17773090889659676,15.51976841588826,0.9885480952979526,-19.713763385526327,-19.87603293836039
0,258,1.009415429161736,1.0192044864648109,0.00010758895422195028,,,,,,
