,ID,a,b,c,d,chisqr,RSS,TSS,Rsqrd,aic,bic
0,1,-4.94870708468462,0.022758521402119702,-4.920730740492367e-05,3.548749929146196e-08,0.26724486032969386,0.26724486032969386,21.53540744930885,0.9875904432753944,-122.25024519168016,-116.92142715097935
0,2,-2.451340180623051,0.017486767708059885,-4.6759734744144545e-05,3.7701870245040445e-08,0.8989572802075072,0.8989572802075072,5.510476297897051,0.8368639602804255,-88.28427970140136,-82.95546166070055
0,3,-4.573704755632955,0.035499272439950616,-9.426881799186698e-05,7.524183238093428e-08,3.154995852257261,3.1549958522572608,21.83487514151311,0.8555065768954689,-53.13008520751611,-47.80126716681529
0,4,-5.178857787224438,0.038240480331882105,-9.410373268025645e-05,6.89747022980889e-08,1.5574442394898318,1.5574442394898318,27.79511490192164,0.9439669796298573,-80.7445363574261,-75.13974683077748
0,5,-5.905079856266981,0.004069771473475921,-1.1722871794985949e-05,6.147805297753721e-09,10.395123972704686,10.395123972704686,13.130425590286125,0.20831781870079003,-15.835751955509135,-10.803365803423207
0,6,-3.8726687658122825,0.015629634015927207,-2.9522507290720467e-05,1.9301324665549113e-08,0.10532308474070746,0.10532308474070745,15.540904047403107,0.9932228469837115,-148.32196064065312,-142.9931425999523
0,7,-4.9144685395298655,0.02920564492653877,-7.18827421905666e-05,5.396054167907099e-08,0.4276373349139885,0.4276373349139884,16.989038909763334,0.9748286329094089,-109.08716043107641,-103.7583423903756
0,8,-5.887882524523706,0.024766315990600335,-4.901136552768581e-05,3.132240298648551e-08,0.3141322944574558,0.3141322944574558,27.57783669390571,0.9886092481457447,-117.7240760174337,-112.39525797673289
0,9,-3.987929804630089,0.01085597430732932,-2.1002010063744614e-05,1.3361164085762656e-08,0.12630372816012247,0.12630372816012247,6.058293092591185,0.9791519284013211,-143.2355667744823,-137.90674873378148
0,10,-4.469636334581882,0.014484999007159483,-3.099275499939388e-05,2.151511859207018e-08,0.21985045918495133,0.21985045918495133,7.9091817380562865,0.9722031347279446,-127.71634173732079,-122.38752369661998
0,11,-4.930261576746447,0.026245194856025954,-6.241802847967157e-05,4.619299271447217e-08,0.23848059718795056,0.23848059718795056,16.620497114226275,0.9856514161069332,-125.43881139814295,-120.10999335744214
0,12,-4.629861576393927,0.019876547886324387,-3.953691460965815e-05,2.569185570634486e-08,0.15806352801206014,0.15806352801206014,18.390469566409408,0.9914051390889569,-136.9549573056363,-131.6261392649355
0,13,-3.2001904329941717,0.017677333290657155,-4.2606235232860255e-05,3.190506379455505e-08,0.22389081228950658,0.22389081228950664,7.243937993719612,0.9690926658285015,-127.20643643579612,-121.87761839509531
0,14,-3.9080660600913997,-0.00816044298245714,1.463209387313988e-05,-4.967160795983897e-09,1.740331422111675,1.7403314221116752,4.588686694749135,0.6207343107335813,-69.7876103930344,-64.45879235233359
0,15,-5.581249709661375,-0.0011760569712299912,1.4166589937656874e-06,8.769096635403777e-09,1.3366306392368261,1.3366306392368263,18.37645708694765,0.9272639642716439,-77.17747031016962,-71.84865226946881
0,16,-5.780233053487932,0.03935421864509425,-9.580586398497507e-05,7.226324554408045e-08,1.2125753633816876,1.2125753633816876,34.19831123287703,0.9645428291729224,-79.90482436150596,-74.57600632080515
0,17,-4.401663015440917,-0.01087733363423716,3.165639471537902e-05,-2.9879297202037976e-08,5.053528102686238,5.053528102686238,8.555268564793543,0.409308069710119,-37.2452562762318,-32.06190881221448
